ID,Agglomeration_ID,Name,Country,continent,iso2,iso3,lat,lng,population,Cx,Cy,NBuildings,TotalFootprint,MeanBuildingArea,MedianBuildingArea,VarBuildingArea,MeanDistanceBuildings,WMeanDistanceBuildings,MaxBuildingsDistance,MeanDistanceBuildingsY,WMeanDistanceBuildingsY,MaxBuildingsDistanceY,MeanDistanceBuildingsG,WMeanDistanceBuildingsG,MaxBuildingsDistanceG,Elongation,Sprawl,CentreLon,CentreLat,CentreDensity,NBuildingsCentre1km,TotalFootprintCentre1km,NBuildingsCentre3km,TotalFootprintCentre3km,MeanArea0100m,MeanArea0250m,MeanArea0500m,MeanArea0750m,MeanArea1000m,MeanArea1500m,MeanArea2000m,MeanArea2500m,MeanArea3000m,MeanArea4000m,FootpLargeBuildings050m,FootpLargeBuildings100m,FootpLargeBuildings200m,HullArea,MeanRemoteness,waterTariff15 m3,waterTariff50 m3,waterTariff100 m3,UrbWaterSafelyManaged,UrbWaterPremises,UrbWaterFreeContamination,UrbWaterPiped,UrbLimitedWater(more than 30m),UrbanUnimprovedSanitation,UrbPopwith Water Premises,UrbPopWithPipedWater,MeanCritInf
AGO9000050,5331,Luanda,Angola,Africa,AO,AGO,-8.924,13.385,6979211,13.22341,-8.823057,2787256,142620820.9,51.16889904,28.8202,8590.35022,16.31220921,15.9201752,59.28021643,16.47453439,16.2750645,60.21838673,16.42575676,16.00600326,60.36276072,0.004399094,0.00051735,13.21809852,-8.839280708,4923008003,27261,1180681.813,107217,5323860.569,32.99408516,38.0183436,42.04337751,43.64278416,43.31028988,44.13173676,46.05998434,47.72157397,49.65500405,49.72642862,0.717959816,0.451511195,0.197600608,946.5448158,4.758688121,19.92,58.98,114.78,0,54.73917628,0,59.48237272,9.558837489,6.33215194,3820362.612,4151400.3,0.123238622
BDI9000710,2195,Bujumbura,Burundi,Africa,BI,BDI,-3.472,29.414,1043847,29.365646,-3.392238,455196,22232107.61,48.84073588,26.4446,5480.274641,10.38212666,8.903225541,42.02654095,10.29508432,8.694330241,41.94979451,10.27914197,8.786170044,41.74418944,0.007899112,0.000748719,29.39090702,-3.345926028,4686167713,22933,1117399.36,113890,6234992.51,46.64277785,47.62317696,47.76165332,47.71568087,48.7245175,52.03865673,53.16154949,54.07626942,54.74574159,54.03663236,0.697458927,0.464106813,0.221280486,495.8377309,6.830500636,4.23,25.14,52.41,0,58.46885251,0,90.86749341,8.034462869,12.48594921,610325.3629,948517.6039,0.051516137
BFA9000290,1975,Bobo-Dioulasso,Burkina Faso,Africa,BF,BFA,11.1833,-4.2833,667853,-4.305421,11.182196,429028,18454260.29,43.01411631,24.17285,3472.187594,6.156328871,5.996986357,18.20861341,6.125196837,5.930574315,18.14056426,6.100664575,5.950188309,17.99264025,0.003756414,0.000666927,-4.32003456,11.18174476,3808361631,16535,795238.2465,85079,4259937.802,47.11971983,45.93603631,47.18598474,46.74161983,48.09423928,47.40394937,48.89031198,51.05680772,50.07037932,49.62599073,0.669524796,0.38934562,0.115392081,152.4298014,6.718158985,11.08,NA,NA,0,59.4099852,0,77.57191107,14.10170346,3.216081277,396771.3685,518066.3352,0.049291645
BFA9000343,7156,Ouagadougou,Burkina Faso,Africa,BF,BFA,12.3686,-1.5275,2299007,-1.526417,12.3748,1863006,57864162.26,31.05956838,18.0425,2479.803952,11.20589537,10.49499234,34.27318549,11.30296139,10.67160312,34.73477837,11.24229845,10.53742533,35.83840674,0.003992956,0.00066297,-1.526934589,12.37860382,3792801216,14320,730865.7159,103171,4701333.451,78.15230993,74.65116972,57.64319697,52.6986234,51.03810865,53.41371484,49.67238141,47.39270542,45.56836176,41.54896598,0.526349258,0.310043162,0.098161285,507.1702056,5.393627513,11.08,75.09,196.9,0,59.4099852,0,77.57191107,14.10170346,3.216081277,1365839.718,1783383.666,0.132602715
CAF9000856,1589,Bangui,Central African Republic,Africa,CF,CAF,4.398,18.55,945883,18.558051,4.385985,352707,14714596.97,41.71903866,24.8745,3022.731798,5.309358637,5.567376277,20.10235045,5.358365175,5.633446454,20.46707672,5.343908359,5.604339474,20.13588227,0.004644271,0.00050318,18.53788508,4.374468117,3695339765,17088,682603.8153,125793,4799030.612,47.5583137,42.71260505,40.98095276,40.87390749,39.94638432,38.94367573,38.24639836,38.01757145,38.1502199,39.85100951,0.643293188,0.342572469,0.116492377,116.3549846,3.332438686,5.13,32.64,74.61,11.25368045,11.25368045,39.52201557,31.34300893,35.6621418,39.62098574,106446.6503,296468.1932,0.043218342
CIV9000140,32,Abidjan,Côte d'Ivoire,Africa,CI,CIV,5.368,-3.949,4717347,-4.020657,5.329587,1003254,73831574.21,73.5921055,32.24865,18627.15992,12.31490275,12.52829535,41.19337331,12.28478034,12.48234278,41.2668424,12.21837053,12.38873646,41.37566575,0.004248653,0.000589757,-3.911674773,5.251295261,5279943020,16319,1280559.021,49010,4120693.014,71.77327222,87.3283115,83.36636528,81.86434834,78.47043453,80.69205118,81.71594523,83.73043171,84.0786169,77.70879774,0.833542334,0.680664373,0.396319492,422.1554027,4.080391022,NA,NA,NA,58.77486968,73.1512155,63.78205276,66.29143935,4.215108919,8.934661055,3450796.67,3127197.225,0.161029964
COD9000028,4858,Kinshasa,Congo (Kinshasa),Africa,CD,COD,-4.408,15.293,7270000,15.317455,-4.30072,1487075,69626325.52,46.82099122,26.5991,4914.244721,12.24465514,11.75693295,45.43995838,12.22170013,11.62159088,44.94048412,12.29439224,11.79133971,44.10783694,0.004826098,0.000544287,15.37593464,-4.38406548,4683788079,21016,1063403.998,140762,6537671.97,56.80903632,58.90731729,52.77081546,50.37372288,50.59973344,48.268116,46.66284704,46.65430896,46.44486417,45.85929414,0.688743509,0.411399725,0.166555815,464.6561343,3.718764723,5.21,26.82,62.92,24.15145188,24.15145188,60.02005575,67.41053633,30.37805024,47.33720035,1755810.552,4900745.991,0.136737594
COG9000447,2158,Brazzaville,Congo (Brazzaville),Africa,CG,COG,-4.242,15.263,1588304,15.287819,-4.270639,546096,31916825.13,58.44544755,33.374,5403.283467,8.647186412,8.793114404,39.24350625,8.650165008,8.735567049,39.72445076,8.602914803,8.791893402,39.99857742,0.006156061,0.000464229,15.27970087,-4.220514642,4913605507,18680,1071220.041,112218,6250713.604,61.31686638,58.7696521,58.29681333,59.02571686,57.34582662,54.36690532,54.61774903,55.45291192,55.70152386,56.09565693,0.778788066,0.54240952,0.172492204,244.5540626,3.611586149,8.27,15.87,26.72,58.62640375,69.19041476,58.62640375,76.34176862,10.37996439,0,1098954.125,1212539.365,0.091034254
DZA9000226,631,Algiers,Algeria,Africa,DZ,DZA,36.681,3.036,3886202.077,3.057377,36.775243,1095927,81797134.98,74.63739371,36.2711,14556.61274,19.51889164,19.59197953,65.93905775,19.36620787,19.43304393,65.69978336,19.33044775,19.48679803,65.83412072,0.006461281,0.000879343,3.403204517,36.75345517,3091451064,5676,687485.0148,27724,2697672.389,173.165636,146.9930439,115.7217735,119.3359804,121.1213909,117.5903672,103.7967568,100.5993341,97.30458769,86.12518908,0.835612622,0.660763825,0.361056637,985.8623186,6.899570165,NA,NA,NA,73.1110134,81.24197415,88.63238815,75.38527924,3.61262384,1.68085288,3157227.287,2929624.288,0.1872603
DZA9000314,7110,Oran,Algeria,Africa,DZ,DZA,35.6969,-0.6331,1043423.893,-0.639587,35.698876,237827,16826553.69,70.75123383,35.2638,16092.03823,7.243121015,7.031351284,21.25165715,7.276586831,7.146463778,21.31187335,7.226040131,7.032553781,21.19952915,0.004591347,0.000828364,-0.624679492,35.69431342,2991512212,10404,763238.1337,59315,4206989.466,61.60372115,63.78362037,67.35459887,73.46679851,73.36006668,69.81867537,70.52121789,71.42744325,70.92623225,70.48321623,0.813117986,0.617435759,0.347785964,163.1778016,5.704466767,2,11.74,39.32,73.1110134,81.24197415,88.63238815,75.38527924,3.61262384,1.68085288,847698.1694,786588.0154,0.160376315
